"Variable","-","Group1","Group2","Group3","p_value"
"Hypertension","0","308(96%)","1189(94.4%)","276(91.7%)","0.0697¢Ó"
"Hypertension","1","13(4%)","71(5.6%)","25(8.3%)",""
"Diabetes","0","317(98.8%)","1238(98.1%)","288(95.4%)","0.0065¢Ó"
"Diabetes","1","4(1.2%)","24(1.9%)","14(4.6%)",""
"Gluc","n"," 321","1262"," 302","< 0.0001¡×"
"Gluc","mean_sd","90.7 ¡¾ 7.76","92.36 ¡¾ 10.17","96.86 ¡¾ 25.8","-"
"Gluc","median","90","92","93","-"
"Gluc","min_max","72, 139","63, 240","70, 359","-"
"Gluc","IQR","85, 96","87, 97","87, 99","-"
"hba1c","n"," 321","1262"," 302","0.035¡×"
"hba1c","mean_sd","5.6 ¡¾ 0.32","5.6 ¡¾ 0.36","5.68 ¡¾ 0.8","-"
"hba1c","median","5.6","5.6","5.6","-"
"hba1c","min_max","4.9, 8.2","4.5, 12","4.6, 13.3","-"
"hba1c","IQR","5.4, 5.8","5.4, 5.8","5.4, 5.8","-"
"Hyperlipidemia","0","303(94.4%)","1152(91.3%)","257(85.1%)","<0.001¢Ó"
"Hyperlipidemia","1","18(5.6%)","110(8.7%)","45(14.9%)",""
"Total cholesterol","n"," 321","1262"," 302","0.3493¡×"
"Total cholesterol","mean_sd","190.76 ¡¾ 29.65","188.57 ¡¾ 31.5","190.83 ¡¾ 32.47","-"
"Total cholesterol","median","189","185","189","-"
"Total cholesterol","min_max","125, 297","107, 351","122, 278","-"
"Total cholesterol","IQR","169, 211","167, 208","166.25, 211","-"
"LDL","n"," 321","1262"," 302","0.5297¡×"
"LDL","mean_sd","108.08 ¡¾ 27.38","108.02 ¡¾ 28.66","110.05 ¡¾ 29.59","-"
"LDL","median","106","104","107","-"
"LDL","min_max","49, 223","29, 267","25, 200","-"
"LDL","IQR","87, 124","88, 124.75","89.25, 130","-"
"adjusted LDL","n"," 321","1262"," 302","0.3655¡×"
"adjusted LDL","mean_sd","108.19 ¡¾ 27.34","108.32 ¡¾ 28.83","110.87 ¡¾ 31.37","-"
"adjusted LDL","median","106","105","107","-"
"adjusted LDL","min_max","49, 223","29, 267","25, 231.4286","-"
"adjusted LDL","IQR","87, 124","89, 125","89.25, 130","-"
"HDL","n"," 321","1262"," 302","< 0.0001¡×"
"HDL","mean_sd","63.49 ¡¾ 12.96","62.05 ¡¾ 13.74","58.89 ¡¾ 13.7","-"
"HDL","median","63","61","59","-"
"HDL","min_max","32, 101","24, 123","28, 114","-"
"HDL","IQR","53, 73","52, 70","49, 67","-"
"TG","n"," 321","1262"," 302","< 0.0001¡×"
"TG","mean_sd","81.61 ¡¾ 35.42","86.04 ¡¾ 41.51","105.05 ¡¾ 79.57","-"
"TG","median","74","77","80","-"
"TG","min_max","32, 233","29, 357","25, 627","-"
"TG","IQR","56, 97","58, 102","60, 118","-"
"Obesity","0","284(88.5%)","1095(86.8%)","238(79.1%)","<0.001¢Ó"
"Obesity","1","37(11.5%)","166(13.2%)","63(20.9%)",""
"BMI","n"," 321","1262"," 302","< 0.0001¡×"
"BMI","mean_sd","21.82 ¡¾ 2.72","22.09 ¡¾ 2.73","22.9 ¡¾ 3.23","-"
"BMI","median","21.3995","21.7711","22.6111","-"
"BMI","min_max","15.8744, 34.6343","15.318, 35.2453","14.5896, 37.9369","-"
"BMI","IQR","19.8347, 23.386","20.3004, 23.3937","20.6904, 24.4386","-"
"Waist","n"," 321","1262"," 302","< 0.0001¡×"
"Waist","mean_sd","75.49 ¡¾ 7.65","75.93 ¡¾ 7.29","79 ¡¾ 7.77","-"
"Waist","median","74.65","75.40","77.75","-"
"Waist","min_max","60.5, 107","59, 108.5","57.5, 103","-"
"Waist","IQR","70, 80.275","71, 80","73.5, 83.275","-"
"Fatty liver","0","297(92.5%)","1146(91%)","236(78.1%)","<0.001¢Ó"
"Fatty liver","1","24(7.5%)","113(9%)","66(21.9%)",""
