"","variable","level","result_all_data"
"1","smk","n","1865"
"2","smk","0","1600(85.79)"
"3","smk","1","249(13.35)"
"4","smk","2","16(0.86)"
"5","ipaq_cat","n","1885"
"6","ipaq_cat","0","660(35.01)"
"7","ipaq_cat","1","773(41.01)"
"8","ipaq_cat","2","447(23.71)"
"9","ipaq_cat","3","5(0.27)"
"10","marital_status","n","1885"
"11","marital_status","1","1823(96.71)"
"12","marital_status","2","62(3.29)"
"13","education","n","1885"
"14","education","1","2(0.11)"
"15","education","2","11(0.58)"
"16","education","3","604(32.04)"
"17","education","4","267(14.16)"
"18","education","5","1001(53.1)"
"19","parous","n","1810"
"20","parous","0","93(5.14)"
"21","parous","1","1717(94.86)"
"22","menarche_age_cat","n","1885"
"23","menarche_age_cat","<12","31(1.64)"
"24","menarche_age_cat",">=15","796(42.23)"
"25","menarche_age_cat","12-14","1026(54.43)"
"26","menarche_age_cat","Unknown","32(1.7)"
"27","hypertension","n","1885"
"28","hypertension","0","1605(85.15)"
"29","hypertension","1","280(14.85)"
"30","diabetes","n","1885"
"31","diabetes","0","1750(92.84)"
"32","diabetes","1","135(7.16)"
"33","med_hyperlipidemia","n","1885"
"34","med_hyperlipidemia","0","1624(86.15)"
"35","med_hyperlipidemia","1","261(13.85)"
"36","med_iron","n","1885"
"37","med_iron","0","1876(99.52)"
"38","med_iron","1","9(0.48)"
"39","hyperlipidemia","n","1885"
"40","hyperlipidemia","0","1174(62.28)"
"41","hyperlipidemia","1","711(37.72)"
"42","obesity","n","1884"
"43","obesity","0","1531(81.26)"
"44","obesity","1","353(18.74)"
"45","usgab_fatty_liver","n","1880"
"46","usgab_fatty_liver","0","1338(71.17)"
"47","usgab_fatty_liver","1","542(28.83)"
