"","variable","level","result_all_data"
"1","smk","n","1588"
"2","smk","0","1358(85.52)"
"3","smk","1","205(12.91)"
"4","smk","2","25(1.57)"
"5","ipaq_cat","n","1885"
"6","ipaq_cat","0","278(14.75)"
"7","ipaq_cat","1","172(9.12)"
"8","ipaq_cat","2","100(5.31)"
"9","ipaq_cat","3","1335(70.82)"
"10","marital_status","n","1885"
"11","marital_status","1","1817(96.39)"
"12","marital_status","2","68(3.61)"
"13","education","n","1885"
"14","education","0","1(0.05)"
"15","education","1","3(0.16)"
"16","education","2","13(0.69)"
"17","education","3","616(32.68)"
"18","education","4","288(15.28)"
"19","education","5","964(51.14)"
"20","parous","n","1707"
"21","parous","0","82(4.8)"
"22","parous","1","1625(95.2)"
"23","menarche_age_cat","n","1885"
"24","menarche_age_cat","<12","9(0.48)"
"25","menarche_age_cat",">=15","245(13)"
"26","menarche_age_cat","12-14","317(16.82)"
"27","menarche_age_cat","Unknown","1314(69.71)"
"28","hypertension","n","1882"
"29","hypertension","0","1773(94.21)"
"30","hypertension","1","109(5.79)"
"31","diabetes","n","1885"
"32","diabetes","0","1843(97.77)"
"33","diabetes","1","42(2.23)"
"34","med_hyperlipidemia","n","1885"
"35","med_hyperlipidemia","0","1871(99.26)"
"36","med_hyperlipidemia","1","14(0.74)"
"37","med_iron","n","1885"
"38","med_iron","0","1875(99.47)"
"39","med_iron","1","10(0.53)"
"40","hyperlipidemia","n","1885"
"41","hyperlipidemia","0","1712(90.82)"
"42","hyperlipidemia","1","173(9.18)"
"43","obesity","n","1883"
"44","obesity","0","1617(85.87)"
"45","obesity","1","266(14.13)"
"46","usgab_fatty_liver","n","1882"
"47","usgab_fatty_liver","0","1679(89.21)"
"48","usgab_fatty_liver","1","203(10.79)"
