"","variable","level","result_all_data"
"1","age","n","1885"
"2","age","mean_sd","54.34±2.91"
"3","age","median","54.4175"
"4","age","IQR","52.5, 56.38"
"5","age","min_max","44.7912, 63.6906"
"6","alc_amount_grams","n","1606"
"7","alc_amount_grams","mean_sd","1.8±5.39"
"8","alc_amount_grams","median","0"
"9","alc_amount_grams","IQR","0, 1"
"10","alc_amount_grams","min_max","0, 88"
"11","bmi","n","1884"
"12","bmi","mean_sd","22.5±3.24"
"13","bmi","median","22.0241"
"14","bmi","IQR","20.35, 24.16"
"15","bmi","min_max","13.879, 39.7589"
"16","waist","n","1881"
"17","waist","mean_sd","77.64±8.6"
"18","waist","median","77"
"19","waist","IQR","72, 82.2"
"20","waist","min_max","56, 120"
"21","hb","n","1885"
"22","hb","mean_sd","13.37±0.85"
"23","hb","median","13.4"
"24","hb","IQR","12.8, 13.9"
"25","hb","min_max","10.2, 16.5"
"26","iron","n","1885"
"27","iron","mean_sd","108.55±30.61"
"28","iron","median","107"
"29","iron","IQR","89, 125"
"30","iron","min_max","23, 294"
"31","tibc","n","1885"
"32","tibc","mean_sd","300.31±37.21"
"33","tibc","median","298"
"34","tibc","IQR","276, 322"
"35","tibc","min_max","171, 483"
"36","fer","n","1885"
"37","fer","mean_sd","139.92±82.81"
"38","fer","median","123"
"39","fer","IQR","84.8, 175"
"40","fer","min_max","7.02, 1000"
"41","transferrin_sat","n","1885"
"42","transferrin_sat","mean_sd","36.57±10.78"
"43","transferrin_sat","median","35.5224"
"44","transferrin_sat","IQR","29.55, 43.15"
"45","transferrin_sat","min_max","5.1867, 99.2593"
"46","gluc","n","1885"
"47","gluc","mean_sd","97.19±14.82"
"48","gluc","median","95"
"49","gluc","IQR","89, 101"
"50","gluc","min_max","67, 313"
"51","hba1c","n","1885"
"52","hba1c","mean_sd","5.74±0.52"
"53","hba1c","median","5.7"
"54","hba1c","IQR","5.5, 5.9"
"55","hba1c","min_max","4.3, 14.6"
"56","tchol","n","1885"
"57","tchol","mean_sd","210.35±40.21"
"58","tchol","median","211"
"59","tchol","IQR","183, 236"
"60","tchol","min_max","92, 455"
"61","ldl","n","1885"
"62","ldl","mean_sd","133.89±37.97"
"63","ldl","median","134"
"64","ldl","IQR","108, 159"
"65","ldl","min_max","37, 339"
"66","hdl","n","1885"
"67","hdl","mean_sd","69.93±16.78"
"68","hdl","median","68"
"69","hdl","IQR","58, 81"
"70","hdl","min_max","20, 136"
"71","tg","n","1885"
"72","tg","mean_sd","100.97±53.5"
"73","tg","median","88"
"74","tg","IQR","65, 123"
"75","tg","min_max","17, 569"
