"","variable","level","result_all_data"
"1","age","n","1885"
"2","age","mean_sd","42.67±3.25"
"3","age","median","42.6612"
"4","age","IQR","40.35, 44.95"
"5","age","min_max","31.9425, 51.7344"
"6","alc_amount_grams","n","1489"
"7","alc_amount_grams","mean_sd","3.03±6.05"
"8","alc_amount_grams","median","1"
"9","alc_amount_grams","IQR","0, 3"
"10","alc_amount_grams","min_max","0, 86"
"11","bmi","n","1883"
"12","bmi","mean_sd","22.18±2.83"
"13","bmi","median","21.7859"
"14","bmi","IQR","20.31, 23.61"
"15","bmi","min_max","14.5896, 37.9369"
"16","waist","n","967"
"17","waist","mean_sd","76.4±7.53"
"18","waist","median","75.5"
"19","waist","IQR","71.2, 81"
"20","waist","min_max","57.5, 108.5"
"21","hb","n","1885"
"22","hb","mean_sd","12.97±1.29"
"23","hb","median","13.2"
"24","hb","IQR","12.4, 13.8"
"25","hb","min_max","7, 16.1"
"26","iron","n","1885"
"27","iron","mean_sd","104.12±49.48"
"28","iron","median","103"
"29","iron","IQR","70, 134"
"30","iron","min_max","11, 295"
"31","tibc","n","1885"
"32","tibc","mean_sd","333.48±49.65"
"33","tibc","median","329"
"34","tibc","IQR","298, 366"
"35","tibc","min_max","188, 531"
"36","fer","n","1885"
"37","fer","mean_sd","40.48±37.1"
"38","fer","median","30.98"
"39","fer","IQR","13.4, 55.58"
"40","fer","min_max","0.98, 318.9"
"41","transferrin_sat","n","1885"
"42","transferrin_sat","mean_sd","32.62±16.67"
"43","transferrin_sat","median","32.5342"
"44","transferrin_sat","IQR","20.6, 43.2"
"45","transferrin_sat","min_max","2.2599, 98.419"
"46","gluc","n","1885"
"47","gluc","mean_sd","92.8±13.76"
"48","gluc","median","92"
"49","gluc","IQR","87, 97"
"50","gluc","min_max","63, 359"
"51","hba1c","n","1885"
"52","hba1c","mean_sd","5.61±0.45"
"53","hba1c","median","5.6"
"54","hba1c","IQR","5.4, 5.8"
"55","hba1c","min_max","4.5, 13.3"
"56","tchol","n","1885"
"57","tchol","mean_sd","189.31±31.35"
"58","tchol","median","187"
"59","tchol","IQR","167, 209"
"60","tchol","min_max","107, 351"
"61","ldl","n","1885"
"62","ldl","mean_sd","108.35±28.59"
"63","ldl","median","105"
"64","ldl","IQR","88, 126"
"65","ldl","min_max","25, 267"
"66","hdl","n","1885"
"67","hdl","mean_sd","61.79±13.67"
"68","hdl","median","61"
"69","hdl","IQR","52, 70"
"70","hdl","min_max","24, 123"
"71","tg","n","1885"
"72","tg","mean_sd","88.33±49.33"
"73","tg","median","77"
"74","tg","IQR","58, 103"
"75","tg","min_max","25, 627"
