"","variable","level","result_all_data"
"1","age","n","1748"
"2","age","mean_sd","49.82±2.73"
"3","age","median","49.9836"
"4","age","IQR","48, 51.85"
"5","age","min_max","40.3669, 55.4196"
"6","alc_amount_grams","n","1525"
"7","alc_amount_grams","mean_sd","2.94±6.64"
"8","alc_amount_grams","median","1"
"9","alc_amount_grams","IQR","0, 3"
"10","alc_amount_grams","min_max","0, 96"
"11","bmi","n","1747"
"12","bmi","mean_sd","22.49±3.12"
"13","bmi","median","22.0451"
"14","bmi","IQR","20.43, 24.1"
"15","bmi","min_max","15.147, 46.5767"
"16","waist","n","1698"
"17","waist","mean_sd","76.75±8.23"
"18","waist","median","76"
"19","waist","IQR","71, 81.2"
"20","waist","min_max","56.1, 126"
"21","hb","n","1748"
"22","hb","mean_sd","13.4±1.02"
"23","hb","median","13.4"
"24","hb","IQR","12.9, 14"
"25","hb","min_max","7.5, 16.9"
"26","iron","n","1748"
"27","iron","mean_sd","110.69±37.23"
"28","iron","median","110"
"29","iron","IQR","88, 132"
"30","iron","min_max","7, 317"
"31","tibc","n","1748"
"32","tibc","mean_sd","314.43±44.5"
"33","tibc","median","308"
"34","tibc","IQR","284, 338"
"35","tibc","min_max","173, 517"
"36","fer","n","1748"
"37","fer","mean_sd","82.44±63.07"
"38","fer","median","68.96"
"39","fer","IQR","40.31, 108"
"40","fer","min_max","2.75, 673.8"
"41","transferrin_sat","n","1748"
"42","transferrin_sat","mean_sd","36.05±12.98"
"43","transferrin_sat","median","35.4736"
"44","transferrin_sat","IQR","28.2, 43.71"
"45","transferrin_sat","min_max","1.7632, 90.0568"
"46","gluc","n","1748"
"47","gluc","mean_sd","95.69±12.65"
"48","gluc","median","93"
"49","gluc","IQR","89, 99"
"50","gluc","min_max","57, 286"
"51","hba1c","n","1748"
"52","hba1c","mean_sd","5.61±0.46"
"53","hba1c","median","5.6"
"54","hba1c","IQR","5.4, 5.8"
"55","hba1c","min_max","4.3, 12.4"
"56","tchol","n","1748"
"57","tchol","mean_sd","205.07±35.2"
"58","tchol","median","203"
"59","tchol","IQR","181, 228"
"60","tchol","min_max","100, 369"
"61","ldl","n","1748"
"62","ldl","mean_sd","133.49±34.13"
"63","ldl","median","132"
"64","ldl","IQR","109, 155"
"65","ldl","min_max","43, 273"
"66","hdl","n","1748"
"67","hdl","mean_sd","68.11±16.99"
"68","hdl","median","66"
"69","hdl","IQR","56, 79"
"70","hdl","min_max","26, 159"
"71","tg","n","1748"
"72","tg","mean_sd","100.4±54.53"
"73","tg","median","87"
"74","tg","IQR","64, 121.25"
"75","tg","min_max","21, 610"
